comment_id,reviewer_issue,required_action,code_artifact,table_or_figure,manuscript_location,status,verification
1,Preserve Paper 1 non-medical PoC boundary,Remove clinical placeholder and keep AwA2 plus synthetic only,manuscript.tex,Sections 1-6,"title, abstract, data availability",implemented,No ECG/cardiac MRI claims in manuscript body.
2,Run initial package audit,Create audit/revision_initial_audit.json and precompile log,audit/revision_initial_audit.json; audit/revision_precompile.log,audit files,audit,implemented,Initial audit and baseline compile logs are present.
3,Use official xlsa17 split,Replace deterministic holdout with supplied official split,scripts/run_official_xlsa_protocol.py,tables/table_protocol_b.tex; fig11,Results: Protocol B,implemented,source_notes/awa2_split_note.md documents official xlsa17 usage.
4,Track all reviewer comments,Create reviewer_response_matrix.csv with final statuses,audit/reviewer_response_matrix.csv,revision_report.md,audit,implemented,Thirty rows populated; no pending status.
5,Add LIME baseline agreement,Implement local explanation agreement metrics,scripts/run_local_xai_baselines.py,tables/table_local_xai_agreement.tex,Results: Agreement with local post-hoc explanations,implemented,1000 stratified objects evaluated.
6,Add SHAP baseline agreement,Compute additive semantic-contribution agreement,scripts/run_local_xai_baselines.py,tables/table_local_xai_agreement.tex,Results: Agreement with local post-hoc explanations,implemented,SHAP-style agreement and CI reported.
7,Document feature extractor,Add ResNet-101 feature extractor and preprocessing details,manuscript.tex; README.md,tables/table_feature_extractor_hyperparameters.tex,Appendix A,implemented_with_limitation,No raw-image augmentation was performed because supplied package uses released representation features.
8,Train a base predictor,Train reproducible predictor on representation matrix,scripts/train_base_predictor.py,tables/table_base_predictor_performance.tex,Results: Base predictor,implemented,Predictions saved in artifacts/awa2/base_predictor_predictions.csv.
9,"Report Top-1, Top-5, F1, AUROC",Expand base predictor metrics,scripts/train_base_predictor.py,tables/table_base_predictor_performance.tex,Results: Base predictor,implemented,"Top-1, Top-5, macro-F1, weighted-F1, AUROC, and ECE reported."
10,Define fidelity metrics,Add covered and all-object fidelity definitions,manuscript.tex,tables/table_explainability_metrics.tex,Methods: Evaluation metrics,implemented,"Fidelity added to rulebook, discretizer, and symbolic baseline tables."
11,Add CBM baseline,Implement frozen-feature concept bottleneck,scripts/run_cbm_tcav_baselines.py,tables/table_cbm_tcav_baselines.tex,Results: Concept baselines,implemented,CBM reconstruction and class metrics reported.
12,Add TCAV baseline,Implement concept-vector diagnostic at representation layer,scripts/run_cbm_tcav_baselines.py,tables/table_cbm_tcav_baselines.tex,Results: Concept baselines,implemented_with_limitation,TCAV is representation-layer only because raw activation stack is not supplied.
13,Add CART baseline,Compare against decision tree rules,scripts/run_symbolic_baselines.py,tables/table_symbolic_baselines.tex,Results: Symbolic baselines,implemented,"CART accuracy, fidelity, coverage, and rule count reported."
14,Add RIPPER-like baseline,Compare against separate-and-conquer rules,scripts/run_symbolic_baselines.py,tables/table_symbolic_baselines.tex,Results: Symbolic baselines,implemented,"RIPPER-like coverage, accuracy, fidelity, and conflict rate reported."
15,Add WEDD ablation,Compare WEDD against MDLP/equal-frequency/equal-width,scripts/run_discretizer_ablation.py,tables/table_wedd_ablation.tex,Results: Discretizer baselines,implemented,Same reconstructed semantics and rule logic used.
16,Add nonlinear transition ablation,"Compare linear ridge, kernel ridge, and MLP",scripts/run_transition_operator_ablation.py,tables/table_transition_operator_ablation.tex,Results: Transition-operator baselines,implemented,"Runtime, reconstruction, prototype, and rule metrics reported."
17,Correct dimensionality bridge,Define compressed and full transition matrix dimensions,manuscript.tex,Equations 1-2,Methods: Problem formulation,implemented,SVD bridge dimensions explicitly stated.
18,Define WEDD KDE density term,Add Gaussian KDE expression and stopping rules,manuscript.tex,Algorithm 1,Methods: WEDD,implemented,"KDE formula, lambda, epsilon, min bin, and max depth stated."
19,Formalize reduct objective,Add optimization constraint for support and confidence,manuscript.tex,Equation 7,Methods: Rough-set granulation,implemented,Greedy solver and tie-breaking described.
20,Define selection score,Add salience/MAE score and alpha,manuscript.tex,tables/table_selected_attributes.tex,Methods: Attribute selection,implemented,Score formula and components reported.
21,Define symbolic Hamming distance,Add formula used by Protocol B/fallback,manuscript.tex,Equation 8,Methods: Rule inference,implemented,Wildcard/non-wildcard denominator convention described.
22,Add complexity analysis,Add Big-O complexity and memory discussion,manuscript.tex,Methods subsection,Methods: Computational complexity,implemented,"SVD, ridge, WEDD, granules, reducts, and inference costs described."
23,Add explainability metrics table,"Report sparsity, coverage, abstention, support, confidence",scripts/generate_revision_tables.py,tables/table_explainability_metrics.tex,Results: Rulebook structure,implemented,Metrics generated from artifacts.
24,Add coverage-abstention tradeoff,Generate confidence-threshold plot,scripts/generate_revision_figures.py,fig15_coverage_abstention_tradeoff.pdf,Results: Rule traces and tradeoff,implemented,Raw CSV saved as coverage_abstention_tradeoff.csv.
25,Add rule stability assessment,Perturb semantic representations and report consistency,scripts/run_rule_stability.py,tables/table_rule_stability.tex; fig16,Results and Appendix C,implemented,Sigma grid and consistency metrics reported.
26,Improve figure aesthetics,Regenerate revision figures with consistent style,scripts/figure_style.py; scripts/generate_revision_figures.py,fig14-fig16 plus retained figures,Figures,implemented_with_limitation,Nature-figure skill not installed locally; equivalent local Matplotlib style used.
27,Replace terminal-like rule trace,Use readable table-style representative trace,scripts/generate_revision_figures.py,fig14_representative_rule_traces.pdf,Results: Rule traces,implemented,"Trace includes object, prediction, rule, support, confidence, source, antecedents."
28,Expand references,"Add 35-50 XAI, rough-set, discretization, and transition references",references.bib,Bibliography,Related works,implemented,42 BibTeX entries; bibtex8 succeeds.
29,Add abbreviations and variables,Include variables and abbreviations table,scripts/generate_revision_tables.py,tables/table_abbreviations_variables.tex,After conflicts,implemented,"A, B, T, WEDD, CBM, TCAV, LIME, SHAP, CART, MDLP, KDE, fidelity, support included."
30,Final package quality gate,"Clean build, render, audit, and ZIP complete package",scripts/audit_revision_package.py,audit/revision_final_audit.json,Final packaging,implemented,pdflatex/bibtex sequence succeeds; PDF rendered to PNG for inspection.
