figure,pdf,archetype,core_conclusion,source_data
fig25_a_revision_pipeline,figs_main\fig25_a_revision_pipeline.pdf,schematic-led subfigure,v1-v3 revision artifacts form a cumulative evidence path.,outputs/revision_v1/revision_v1_run_summary.json; outputs/revision_v2/qc/claim_consistency_check.csv; outputs/revision_v3/manifest_revision_v3.json
fig25_b_artifact_counts,figs_main\fig25_b_artifact_counts.pdf,quantitative subfigure,The revision generated a multi-version artifact bundle.,outputs/revision_v1; outputs/revision_v2; outputs/revision_v3
fig25_c_claim_gates,figs_main\fig25_c_claim_gates.pdf,quantitative subfigure,"SUN, Derm7pt, and QC gates are explicitly recorded.",outputs/revision_v1/revision_v1_run_summary.json; outputs/revision_v2/qc/qc_summary.json; outputs/revision_v3/manifest_revision_v3.json
fig25_d_validation_completeness,figs_main\fig25_d_validation_completeness.pdf,quantitative subfigure,Claim and QC validation completeness is machine-readable.,outputs/revision_v2/qc/claim_consistency_check.csv; outputs/revision_v3/qc/qc_checklist.csv
fig26_a_object_level_audit_outcomes,figs_main\fig26_a_object_level_audit_outcomes.pdf,quantitative subfigure,"Enhanced prediction exports expose object-level coverage, accuracy, and fidelity.",outputs/revision_v3/statistics/object_level_metric_summary.csv; outputs/revision_v3/statistics/object_level_bootstrap_intervals.csv
fig26_b_conflict_abstention_limits,figs_main\fig26_b_conflict_abstention_limits.pdf,quantitative subfigure,Conflict and abstention reveal where symbolic auditing does not cover the base model.,outputs/revision_v3/statistics/object_level_metric_summary.csv
fig26_c_object_level_bootstrap_intervals,figs_main\fig26_c_object_level_bootstrap_intervals.pdf,quantitative subfigure,Object-level bootstrap intervals are computable from enhanced exports.,outputs/revision_v3/statistics/object_level_bootstrap_intervals.csv
fig27_a_coverage_by_discretizer,figs_main\fig27_a_coverage_by_discretizer.pdf,quantitative subfigure,Discretizer comparisons quantify WEDD without claiming universal superiority.,outputs/revision_v1/awa2/awa2_discretizer_comparison_summary.csv
fig27_b_accuracy_by_discretizer,figs_main\fig27_b_accuracy_by_discretizer.pdf,quantitative subfigure,Discretizer comparisons quantify WEDD without claiming universal superiority.,outputs/revision_v1/awa2/awa2_discretizer_comparison_summary.csv
fig27_c_fidelity_by_discretizer,figs_main\fig27_c_fidelity_by_discretizer.pdf,quantitative subfigure,Discretizer comparisons quantify WEDD without claiming universal superiority.,outputs/revision_v1/awa2/awa2_discretizer_comparison_summary.csv
fig27_d_conflict_by_discretizer,figs_main\fig27_d_conflict_by_discretizer.pdf,quantitative subfigure,Discretizer comparisons quantify WEDD without claiming universal superiority.,outputs/revision_v1/awa2/awa2_discretizer_comparison_summary.csv
fig27_e_paired_wedd_mdlp_intervals,figs_main\fig27_e_paired_wedd_mdlp_intervals.pdf,quantitative subfigure,Paired intervals show modest WEDD effects and preserve cautious framing.,outputs/revision_v2/statistics/paired_discretizer_intervals.csv
fig28_a_q_sensitivity,figs_main\fig28_a_q_sensitivity.pdf,quantitative subfigure,q sensitivity makes the granularity tradeoff inspectable.,outputs/revision_v1/sensitivity/awa2_q_sensitivity.csv
fig28_b_svd_rank_sensitivity,figs_main\fig28_b_svd_rank_sensitivity.pdf,quantitative subfigure,SVD rank changes both reconstruction and rule coverage.,outputs/revision_v1/sensitivity/awa2_svd_rank_sensitivity.csv
fig28_c_confidence_threshold_frontier,figs_main\fig28_c_confidence_threshold_frontier.pdf,quantitative subfigure,"Confidence thresholds expose coverage, accuracy, and fidelity tradeoffs.",outputs/revision_v1/sensitivity/awa2_confidence_threshold_frontier.csv
fig28_d_runtime_summary,figs_main\fig28_d_runtime_summary.pdf,quantitative subfigure,Runtime logs quantify the practical audit-tax components.,outputs/revision_v1/runtime/runtime_summary.csv
fig29_a_protocol_b_seed_metrics,figs_main\fig29_a_protocol_b_seed_metrics.pdf,quantitative subfigure,"Protocol B is reported as semantic-transfer validation, not ZSL competition.",outputs/revision_v1/awa2/awa2_protocol_b_seedwise.csv
